"","gq6_1","gq6_2","gq6_3","gq6_4","gq6_5","gq6_6","gac_1","gac_2","gac_3","losd_1","losd_2","losd_3","losd_4","losd_5","losd_6","sa_1","sa_2","sa_3","sa_4","sa_5","sa_6","ao_1","ao_2","ao_3","ao_4"
"1",6,5,3,6,5,5,3,3,4,9,5,4,5,6,2,8,7,9,4,7,7,7,7,8,6
"2",6,7,7,7,5,6,2,3,3,8,3,1,1,1,1,6,3,1,2,5,6,9,7,5,6
"3",7,7,6,7,7,7,5,5,5,9,1,1,1,1,3,9,1,9,5,9,9,9,9,9,9
"4",7,6,7,6,6,5,5,5,5,9,4,1,1,1,3,9,5,9,1,9,8,9,9,9,9
"5",6,6,6,6,6,6,4,4,4,8,7,7,5,5,7,8,7,6,5,6,8,9,8,6,7
"6",7,7,6,7,7,4,4,5,5,9,2,4,8,9,5,4,3,5,7,8,8,8,8,7,5
"7",6,6,7,6,6,4,3,4,4,8,1,2,3,1,1,3,5,6,5,9,9,8,7,8,7
"8",3,1,2,5,5,3,3,4,4,3,5,7,3,3,7,3,1,1,5,5,7,3,7,3,3
"9",7,6,3,6,5,3,4,5,5,7,3,1,1,1,4,4,2,2,2,6,7,7,5,7,7
"10",7,7,7,7,7,7,5,5,5,9,5,5,5,9,9,7,6,5,8,8,8,9,7,9,9
"11",6,4,5,5,7,5,5,4,5,7,5,2,2,3,3,3,7,7,3,7,4,7,8,2,5
"12",6,7,7,6,6,5,4,5,4,8,4,2,1,2,5,5,7,6,7,9,9,8,6,5,6
"13",7,7,7,6,6,7,5,5,5,8,1,1,1,2,1,4,2,7,2,2,9,7,7,4,9
"14",4,3,3,3,3,4,2,2,3,4,6,5,4,4,6,5,2,5,3,4,5,4,5,4,4
"15",7,7,7,6,7,6,5,5,5,9,1,1,1,1,1,9,4,8,9,7,9,9,9,9,9
"16",6,6,6,6,6,4,4,4,4,8,5,5,3,3,3,5,5,5,6,6,7,8,6,7,8
"17",7,7,7,7,7,1,4,5,5,9,1,1,1,1,1,5,5,1,1,9,9,8,9,9,9
"18",6,7,7,6,7,2,3,3,3,9,8,6,2,9,7,3,7,1,7,9,9,9,4,6,7
"19",7,7,7,7,7,7,5,5,5,8,1,1,1,1,2,7,8,9,5,7,9,9,8,9,9
"20",6,7,7,4,4,5,2,2,2,5,6,5,5,5,7,7,5,1,5,7,9,7,9,6,7
